episode,timestep,reward
0,400,0.0
1,800,8836.3287
2,1200,9161.8777
3,1600,9115.3707
4,2000,9161.8777
5,2400,9301.3987
6,2800,9301.3987
7,3200,9301.3987
8,3600,9301.3987
9,4000,9301.3987
10,4400,9301.3987
11,4800,9301.3987
12,5200,9301.3987
13,5600,9301.3987
14,6000,9301.3987
15,6400,9301.3987
16,6800,9301.3987
17,7200,9301.3987
18,7600,9301.3987
19,8000,9301.3987
20,8400,9301.3987
21,8800,9301.3987
22,9200,9301.3987
23,9600,9301.3987
24,10000,9301.3987
25,10400,9301.3987
26,10800,9301.3987
27,11200,9301.3987
28,11600,9301.3987
29,12000,9301.3987
30,12400,9301.3987
31,12800,9301.3987
32,13200,9301.3987
