episode,timestep,reward
0,200,0.0
0,400,0.0
1,600,-9301.3987
1,800,0.0
2,1000,-9301.3987
2,1200,0.0
3,1400,-9301.3987
3,1600,0.0
4,1800,-9301.3987
4,2000,0.0
5,2200,-9301.3987
5,2400,0.0
6,2600,-9301.3987
6,2800,0.0
7,3000,-9301.3987
7,3200,0.0
8,3400,-9301.3987
8,3600,0.0
9,3800,-9301.3987
9,4000,0.0
10,4200,-9301.3987
10,4400,0.0
11,4600,-9301.3987
11,4800,0.0
12,5000,-9301.3987
12,5200,0.0
13,5400,-9301.3987
13,5600,0.0
14,5800,-9301.3987
14,6000,0.0
15,6200,-9301.3987
15,6400,0.0
16,6600,-9301.3987
16,6800,0.0
17,7000,-9301.3987
17,7200,0.0
18,7400,-9301.3987
18,7600,0.0
19,7800,-9301.3987
19,8000,0.0
20,8200,-9301.3987
20,8400,0.0
21,8600,-9301.3987
21,8800,0.0
22,9000,-9301.3987
22,9200,0.0
23,9400,-9301.3987
23,9600,0.0
24,9800,-9301.3987
24,10000,0.0
25,10200,-9301.3987
25,10400,0.0
26,10600,-9301.3987
26,10800,0.0
27,11000,-9301.3987
27,11200,0.0
28,11400,-9301.3987
28,11600,0.0
29,11800,-9301.3987
29,12000,0.0
30,12200,-9301.3987
30,12400,0.0
31,12600,-9301.3987
31,12800,0.0
32,13000,-9301.3987
32,13200,0.0
33,13400,-9301.3987
33,13600,0.0
34,13800,-9301.3987
34,14000,0.0
35,14200,-9301.3987
35,14400,0.0
