episode,timestep,reward
0,400,0.0
1,800,-8882.8357
2,1200,-9301.3987
3,1600,-9301.3987
4,2000,-9301.3987
5,2400,-9301.3987
6,2800,-9278.1452
7,3200,-9301.3987
8,3600,-9301.3987
9,4000,-9231.6382
10,4400,-9278.1452
11,4800,-9301.3987
12,5200,-9301.3987
13,5600,-9301.3987
14,6000,-9278.1452
15,6400,-9301.3987
16,6800,-9254.8917
17,7200,-9278.1452
18,7600,-9301.3987
19,8000,-9301.3987
20,8400,-9301.3987
21,8800,-9254.8917
22,9200,-9278.1452
23,9600,-9254.8917
24,10000,-9301.3987
25,10400,-9301.3987
26,10800,-9278.1452
27,11200,-9278.1452
28,11600,-9231.6382
29,12000,-9301.3987
30,12400,-9301.3987
31,12800,-9278.1452
32,13200,-9301.3987
33,13600,-9301.3987
34,14000,-9301.3987
35,14400,-9254.8917
36,14800,-9254.8917
37,15200,-9301.3987
38,15600,-9301.3987
39,16000,-9301.3987
40,16400,-9301.3987
41,16800,-9301.3987
42,17200,-9301.3987
43,17600,-9208.3847
44,18000,-9278.1452
45,18400,-9301.3987
46,18800,-9301.3987
47,19200,-9278.1452
48,19600,-9301.3987
49,20000,-9278.1452
50,20400,-9278.1452
51,20800,-9301.3987
52,21200,-9254.8917
53,21600,-9301.3987
54,22000,-9301.3987
55,22400,-9301.3987
56,22800,-9278.1452
57,23200,-9254.8917
58,23600,-9301.3987
59,24000,-9301.3987
60,24400,-9278.1452
61,24800,-9231.6382
62,25200,-9301.3987
