episode,timestep,reward
1,800,-800.0
4,1600,-543.3333
6,2400,-791.0
8,3200,-800.0
10,4000,-800.0
12,4800,-800.0
14,5600,-800.0
16,6400,-800.0
18,7200,-800.0
20,8000,-800.0
22,8800,-800.0
24,9600,-800.0
26,10400,-800.0
28,11200,-800.0
30,12000,-800.0
32,12800,-800.0
34,13600,-800.0
36,14400,-800.0
38,15200,-800.0
40,16000,-800.0
42,16800,-800.0
44,17600,-800.0
46,18400,-800.0
48,19200,-800.0
50,20000,-800.0
52,20800,-800.0
54,21600,-800.0
56,22400,-800.0
58,23200,-800.0
60,24000,-800.0
62,24800,-800.0
64,25600,-800.0
66,26400,-800.0
68,27200,-800.0
70,28000,-800.0
72,28800,-800.0
74,29600,-800.0
76,30400,-800.0
78,31200,-800.0
80,32000,-800.0
82,32800,-800.0
84,33600,-800.0
86,34400,-800.0
88,35200,-800.0
90,36000,-800.0
92,36800,-800.0
94,37600,-800.0
96,38400,-800.0
98,39200,-800.0
100,40000,-800.0
102,40800,-800.0
104,41600,-800.0
106,42400,-800.0
108,43200,-800.0
110,44000,-800.0
112,44800,-800.0
114,45600,-800.0
116,46400,-800.0
118,47200,-800.0
120,48000,-800.0
122,48800,-800.0
124,49600,-800.0
126,50400,-800.0
128,51200,-800.0
130,52000,-800.0
