episode,timestep,reward
5,800,7908.0
9,1600,-151.5
11,2400,-392.5
13,3200,-400.0
15,4000,-400.0
17,4800,-400.0
19,5600,-400.0
21,6400,-400.0
23,7200,-400.0
25,8000,-400.0
27,8800,-400.0
29,9600,-400.0
31,10400,-400.0
33,11200,-399.25
35,12000,-400.0
37,12800,-400.0
39,13600,-400.0
41,14400,-400.0
43,15200,-400.0
45,16000,-400.0
47,16800,-399.25
49,17600,-400.0
51,18400,-400.0
53,19200,-400.0
55,20000,-400.0
57,20800,-400.0
59,21600,-400.0
61,22400,-400.0
63,23200,-400.0
65,24000,-400.0
67,24800,-400.0
69,25600,-400.0
71,26400,-399.25
73,27200,-400.0
75,28000,-400.0
77,28800,-400.0
79,29600,38.75
81,30400,195.5
83,31200,197.0
85,32000,194.75
87,32800,194.0
89,33600,193.25
91,34400,196.25
93,35200,197.0
95,36000,198.5
97,36800,197.0
99,37600,191.0
101,38400,197.75
103,39200,194.0
105,40000,188.75
107,40800,196.25
109,41600,191.75
111,42400,193.25
113,43200,194.0
115,44000,194.75
117,44800,194.75
119,45600,195.5
121,46400,197.0
123,47200,193.25
125,48000,194.0
127,48800,194.0
129,49600,194.75
131,50400,195.5
133,51200,197.75
135,52000,198.5
137,52800,195.5
139,53600,199.25
141,54400,195.5
143,55200,192.5
145,56000,194.0
147,56800,197.75
149,57600,196.25
151,58400,197.75
153,59200,194.75
155,60000,197.75
157,60800,195.5
159,61600,197.0
161,62400,197.75
163,63200,195.5
165,64000,195.5
167,64800,192.5
169,65600,194.0
171,66400,194.0
173,67200,191.0
175,68000,196.25
177,68800,197.0
179,69600,198.5
181,70400,199.25
183,71200,197.0
185,72000,195.5
187,72800,197.0
189,73600,197.75
191,74400,192.5
193,75200,191.0
195,76000,188.0
197,76800,194.75
199,77600,194.75
201,78400,195.5
203,79200,196.25
205,80000,193.25
207,80800,197.0
209,81600,196.25
211,82400,196.25
213,83200,197.0
215,84000,196.25
217,84800,194.75
219,85600,195.5
221,86400,195.5
223,87200,192.5
225,88000,197.0
227,88800,193.25
229,89600,194.0
231,90400,193.25
233,91200,197.75
235,92000,194.75
237,92800,197.0
239,93600,198.5
241,94400,197.0
243,95200,193.25
245,96000,193.25
247,96800,196.25
249,97600,197.75
251,98400,192.5
253,99200,194.0
255,100000,194.0
