episode,timestep,reward
4,800,9833.0
7,1600,-182.0
9,2400,-399.25
11,3200,-400.0
13,4000,-400.0
15,4800,-400.0
17,5600,-400.0
19,6400,-400.0
21,7200,-398.5
23,8000,-395.5
25,8800,-394.75
27,9600,-397.75
29,10400,-399.25
31,11200,-397.0
33,12000,-397.0
35,12800,-399.25
37,13600,-393.25
39,14400,-394.75
41,15200,-394.75
43,16000,-397.75
45,16800,-397.0
47,17600,-398.5
49,18400,-398.5
51,19200,-396.25
53,20000,-394.75
55,20800,-395.5
57,21600,-397.75
59,22400,-392.5
61,23200,-394.0
63,24000,-389.5
65,24800,-397.75
67,25600,-394.75
69,26400,-396.25
71,27200,-396.25
73,28000,-397.0
75,28800,-397.75
77,29600,-394.75
79,30400,-392.5
81,31200,-391.75
83,32000,-395.5
85,32800,-394.75
87,33600,-396.25
89,34400,-394.75
91,35200,-397.0
93,36000,-393.25
95,36800,-390.25
97,37600,-394.75
99,38400,-397.75
101,39200,-396.25
103,40000,-396.25
105,40800,-395.5
107,41600,-395.5
109,42400,-386.5
111,43200,-397.75
113,44000,-396.25
115,44800,-395.5
117,45600,-392.5
119,46400,-397.75
121,47200,-397.75
123,48000,-394.0
125,48800,-397.0
127,49600,-398.5
129,50400,-394.0
131,51200,-395.5
133,52000,-390.25
135,52800,-400.0
137,53600,-394.0
139,54400,-396.25
141,55200,-396.25
143,56000,-397.0
145,56800,-394.0
148,57600,-411.3333
150,58400,-397.75
152,59200,-394.75
154,60000,-395.5
156,60800,-394.0
159,61600,-364.3333
161,62400,-389.5
163,63200,-397.0
165,64000,-392.5
167,64800,-396.25
169,65600,-395.5
171,66400,-398.5
173,67200,-396.25
175,68000,-397.0
177,68800,-397.75
179,69600,-394.75
181,70400,-397.0
183,71200,-394.75
185,72000,-397.75
187,72800,-395.5
189,73600,-397.0
191,74400,-392.5
193,75200,-395.5
195,76000,-396.25
197,76800,-395.5
199,77600,-394.0
201,78400,-392.5
203,79200,-394.0
205,80000,-395.5
207,80800,-398.5
209,81600,-395.5
211,82400,-388.0
213,83200,-395.5
215,84000,-391.0
217,84800,-398.5
219,85600,-478.75
221,86400,-391.0
223,87200,-398.5
225,88000,-393.25
227,88800,-393.25
229,89600,-396.25
231,90400,-395.5
233,91200,-395.5
235,92000,-393.25
237,92800,-394.0
239,93600,-397.75
241,94400,-391.75
243,95200,-397.0
245,96000,-397.0
247,96800,-396.25
249,97600,-398.5
251,98400,-392.5
253,99200,-397.75
255,100000,-394.75
