episode,timestep,reward
2,800,-95.25
5,1600,13211.0
7,2400,-310.0
9,3200,-400.0
11,4000,-400.0
13,4800,-400.0
15,5600,-101.5
17,6400,196.25
19,7200,195.5
21,8000,191.75
23,8800,197.75
25,9600,198.5
27,10400,195.5
29,11200,196.25
31,12000,192.5
33,12800,193.25
35,13600,192.5
37,14400,190.25
39,15200,197.75
41,16000,194.75
43,16800,191.0
45,17600,189.5
47,18400,198.5
49,19200,197.0
51,20000,194.75
53,20800,193.25
55,21600,197.0
57,22400,200.0
59,23200,197.75
61,24000,193.25
63,24800,194.75
65,25600,192.5
67,26400,197.0
69,27200,194.0
71,28000,197.0
73,28800,187.25
75,29600,197.0
77,30400,199.25
79,31200,192.5
81,32000,194.75
83,32800,197.75
85,33600,193.25
87,34400,194.75
89,35200,198.5
91,36000,197.75
93,36800,194.0
95,37600,196.25
97,38400,196.25
99,39200,195.5
101,40000,191.0
103,40800,197.0
105,41600,197.75
107,42400,197.0
109,43200,195.5
111,44000,195.5
113,44800,193.25
115,45600,198.5
117,46400,191.75
119,47200,194.0
121,48000,197.0
123,48800,196.25
125,49600,194.75
127,50400,193.25
129,51200,199.25
131,52000,197.75
133,52800,198.5
135,53600,197.0
137,54400,194.0
139,55200,200.0
141,56000,189.5
143,56800,197.75
145,57600,191.75
147,58400,191.0
149,59200,199.25
151,60000,188.75
