episode,timestep,reward
2,800,-6940.25537109375
5,1600,-13934.630859375
7,2400,-23735.9140625
9,3200,-23722.078125
11,4000,-23722.3828125
13,4800,-23721.689453125
15,5600,-23722.25390625
17,6400,-23722.294921875
19,7200,-23722.251953125
21,8000,-23721.77734375
23,8800,-23722.1640625
25,9600,-23722.12109375
27,10400,-23721.94921875
29,11200,-23722.123046875
31,12000,-23722.81640625
33,12800,-23722.296875
35,13600,-23721.9921875
37,14400,-23722.2109375
39,15200,-23722.078125
41,16000,-23722.078125
43,16800,-23721.86328125
45,17600,-23722.078125
47,18400,-23722.3828125
49,19200,-23722.166015625
51,20000,-23722.1640625
53,20800,-23721.94921875
55,21600,-23722.03515625
57,22400,-23722.03515625
59,23200,-23722.384765625
61,24000,-23722.080078125
63,24800,-23721.90625
65,25600,-23722.337890625
67,26400,-23722.3828125
69,27200,-23722.294921875
71,28000,-23721.86328125
73,28800,-23722.42578125
75,29600,-23722.42578125
77,30400,-23721.90625
79,31200,-23722.3828125
