episode,timestep,reward
1,800,329.0
3,1600,335.0
5,2400,356.5
7,3200,400.0
9,4000,400.0
11,4800,400.0
13,5600,399.5
15,6400,400.0
17,7200,400.0
19,8000,400.0
21,8800,400.0
23,9600,400.0
25,10400,400.0
27,11200,400.0
29,12000,400.0
31,12800,400.0
33,13600,400.0
35,14400,400.0
37,15200,400.0
39,16000,400.0
41,16800,400.0
43,17600,400.0
45,18400,400.0
47,19200,400.0
49,20000,400.0
51,20800,400.0
53,21600,400.0
55,22400,400.0
57,23200,400.0
59,24000,400.0
61,24800,400.0
63,25600,400.0
65,26400,400.0
67,27200,400.0
69,28000,400.0
71,28800,400.0
73,29600,400.0
75,30400,400.0
77,31200,400.0
79,32000,400.0
81,32800,400.0
83,33600,400.0
85,34400,400.0
87,35200,400.0
89,36000,400.0
91,36800,400.0
93,37600,400.0
95,38400,400.0
97,39200,400.0
99,40000,400.0
101,40800,400.0
103,41600,400.0
105,42400,400.0
107,43200,400.0
109,44000,400.0
111,44800,400.0
113,45600,400.0
115,46400,400.0
117,47200,400.0
119,48000,400.0
121,48800,400.0
123,49600,400.0
125,50400,400.0
127,51200,400.0
129,52000,400.0
131,52800,400.0
133,53600,400.0
135,54400,400.0
137,55200,400.0
139,56000,400.0
141,56800,400.0
143,57600,400.0
145,58400,400.0
147,59200,400.0
149,60000,400.0
151,60800,400.0
153,61600,400.0
155,62400,400.0
157,63200,400.0
159,64000,400.0
161,64800,400.0
163,65600,400.0
165,66400,400.0
167,67200,400.0
169,68000,400.0
171,68800,400.0
173,69600,400.0
175,70400,400.0
177,71200,400.0
179,72000,400.0
181,72800,400.0
183,73600,400.0
185,74400,400.0
187,75200,400.0
189,76000,400.0
191,76800,400.0
193,77600,400.0
195,78400,400.0
197,79200,400.0
199,80000,400.0
201,80800,400.0
203,81600,400.0
205,82400,400.0
207,83200,400.0
209,84000,400.0
211,84800,400.0
213,85600,400.0
215,86400,400.0
217,87200,400.0
219,88000,400.0
221,88800,400.0
223,89600,400.0
225,90400,400.0
227,91200,400.0
229,92000,400.0
231,92800,400.0
233,93600,400.0
235,94400,400.0
237,95200,400.0
239,96000,400.0
241,96800,400.0
243,97600,400.0
245,98400,400.0
247,99200,400.0
249,100000,400.0
252,800,266.6667
254,1600,0.0
256,2400,0.0
258,3200,0.0
260,4000,0.0
262,4800,0.0
264,5600,0.0
266,6400,0.0
268,7200,0.0
270,8000,0.0
272,8800,0.0
274,9600,0.0
276,10400,0.0
278,11200,0.0
280,12000,0.0
282,12800,0.0
284,13600,0.0
286,14400,0.0
288,15200,0.0
290,16000,0.0
292,16800,0.0
294,17600,0.0
296,18400,0.0
298,19200,0.0
300,20000,0.0
302,20800,0.0
304,21600,0.0
306,22400,0.0
308,23200,0.0
310,24000,0.0
312,24800,0.0
314,25600,0.0
316,26400,0.0
318,27200,0.0
320,28000,0.0
322,28800,0.0
324,29600,0.0
326,30400,0.0
328,31200,0.0
330,32000,0.0
332,32800,0.0
334,33600,0.0
336,34400,0.0
338,35200,0.0
340,36000,0.0
342,36800,0.0
344,37600,0.0
346,38400,0.0
348,39200,0.0
350,40000,0.0
352,40800,0.0
354,41600,0.0
356,42400,0.0
358,43200,0.0
360,44000,0.0
362,44800,0.0
364,45600,0.0
366,46400,0.0
368,47200,0.0
370,48000,0.0
372,48800,0.0
374,49600,0.0
376,50400,0.0
378,51200,0.0
380,52000,0.0
382,52800,0.0
384,53600,0.0
386,54400,0.0
388,55200,0.0
390,56000,0.0
392,56800,0.0
394,57600,0.0
396,58400,0.0
398,59200,0.0
400,60000,0.0
402,60800,0.0
404,61600,0.0
406,62400,0.0
408,63200,0.0
410,64000,0.0
412,64800,0.0
414,65600,0.0
416,66400,0.0
418,67200,0.0
420,68000,0.0
422,68800,0.0
424,69600,0.0
426,70400,0.0
428,71200,0.0
430,72000,0.0
432,72800,0.0
434,73600,0.0
436,74400,0.0
438,75200,0.0
440,76000,0.0
442,76800,0.0
444,77600,0.0
446,78400,0.0
448,79200,0.0
450,80000,0.0
452,80800,0.0
454,81600,0.0
456,82400,0.0
458,83200,0.0
460,84000,0.0
462,84800,0.0
464,85600,0.0
466,86400,0.0
468,87200,0.0
470,88000,0.0
472,88800,0.0
474,89600,0.0
476,90400,0.0
478,91200,0.0
480,92000,0.0
482,92800,0.0
484,93600,0.0
486,94400,0.0
488,95200,0.0
490,96000,0.0
492,96800,0.0
494,97600,0.0
496,98400,0.0
498,99200,0.0
500,100000,0.0
503,800,133.3333
505,1600,400.0
507,2400,400.0
509,3200,400.0
511,4000,400.0
513,4800,400.0
515,5600,400.0
