episode,timestep,reward
2,800,-5550.0
4,1600,-20000.0
562,2400,9905.2814
1128,3200,9958.7397
1708,4000,9962.4132
2276,4800,9959.4861
2874,5600,9966.3931
3461,6400,9963.9541
4045,7200,9963.3358
4611,8000,9959.3622
5177,8800,9958.9066
5758,9600,9962.3771
6332,10400,9960.9652
6921,11200,9964.406
7497,12000,9961.2025
8082,12800,9963.6696
8648,13600,9958.7298
9227,14400,9961.912
9804,15200,9961.5198
10389,16000,9963.5797
10956,16800,9958.9889
11535,17600,9961.912
12112,18400,9961.6158
12690,19200,9961.9985
13281,20000,9965.293
13869,20800,9964.2846
14454,21600,9963.6644
15029,22400,9961.0429
15612,23200,9963.0497
16202,24000,9964.9106
16758,24800,9956.9283
17327,25600,9959.6603
17902,26400,9961.4524
18488,27200,9963.5609
19080,28000,9965.1826
19659,28800,9961.9932
20224,29600,9959.3666
20798,30400,9961.7538
21384,31200,9963.4711
21953,32000,9959.8349
22554,32800,9967.309
23151,33600,9966.558
23730,34400,9961.9117
24308,35200,9961.9372
24885,36000,9961.6876
25453,36800,9959.682
26039,37600,9963.6513
26627,38400,9965.0241
27204,39200,9961.26
27796,40000,9965.3616
28384,40800,9964.2047
28952,41600,9959.7755
29533,42400,9962.4774
30116,43200,9963.0725
30690,44000,9960.7189
31251,44800,9957.7424
31819,45600,9959.2372
32387,46400,9959.8482
32961,47200,9960.6272
33550,48000,9964.4256
34115,48800,9958.5736
34688,49600,9960.5481
35274,50400,9963.6419
35834,51200,9957.7307
36421,52000,9963.8741
36995,52800,9961.1487
37572,53600,9961.26
38139,54400,9959.7572
38726,55200,9963.9637
39300,56000,9961.7424
39876,56800,9961.1927
40471,57600,9966.0306
41053,58400,9963.4009
41628,59200,9961.4823
42203,60000,9960.6853
42791,60800,9964.2775
43379,61600,9964.1855
43985,62400,9968.2196
44556,63200,9960.0596
45137,64000,9962.6301
45721,64800,9963.3454
46308,65600,9963.874
46889,66400,9962.9128
47466,67200,9961.4528
48045,68000,9962.5372
48628,68800,9962.5868
49225,69600,9966.0754
49813,70400,9964.2655
50416,71200,9967.6513
50968,72000,9955.2428
51560,72800,9965.5898
52142,73600,9962.6943
52708,74400,9959.6238
53286,75200,9961.6628
53851,76000,9958.6716
54438,76800,9963.8798
55018,77600,9962.8289
55584,78400,9959.7287
56167,79200,9963.3723
56753,80000,9964.5023
57326,80800,9960.8047
57899,81600,9960.7841
58482,82400,9963.3536
59043,83200,9957.3031
59630,84000,9963.9739
60199,84800,9959.5777
60789,85600,9964.3967
61372,86400,9963.6239
61958,87200,9964.2537
62533,88000,9960.3375
63124,88800,9965.6313
63717,89600,9965.5686
64296,90400,9962.2153
64882,91200,9964.4029
65454,92000,9960.3963
66049,92800,9965.7038
66629,93600,9962.8289
67208,94400,9961.912
67798,95200,9964.9052
68390,96000,9965.1883
68975,96800,9963.5892
69545,97600,9959.7316
70142,98400,9965.9966
70699,99200,9956.88
71286,100000,9964.4794
71861,800,9961.0233
72434,1600,9960.3839
73007,2400,9960.7122
73612,3200,9968.3323
74172,4000,9957.3108
74734,4800,9958.1745
75310,5600,9960.9272
75890,6400,9962.8767
76459,7200,9960.0828
77031,8000,9960.3043
77610,8800,9962.0847
78189,9600,9962.684
78765,10400,9961.2641
79357,11200,9964.7653
79931,12000,9960.8833
80529,12800,9966.6139
81106,13600,9961.423
81686,14400,9962.4744
82244,15200,9956.7999
82807,16000,9958.2382
83388,16800,9962.873
83966,17600,9963.0348
84542,18400,9960.999
85128,19200,9963.4812
85693,20000,9959.1351
86287,20800,9965.1415
86879,21600,9964.8649
87455,22400,9961.448
88030,23200,9960.941
88596,24000,9958.917
89179,24800,9963.1116
89743,25600,9958.853
90306,26400,9958.2382
90887,27200,9962.7111
91473,28000,9963.7234
92048,28800,9961.3603
92607,29600,9957.308
93193,30400,9963.8124
93782,31200,9964.0068
94356,32000,9960.9653
94928,32800,9961.1717
95517,33600,9964.1564
96095,34400,9961.7544
96678,35200,9963.2029
97265,36000,9964.2046
97835,36800,9959.6491
98403,37600,9959.3928
98978,38400,9961.0331
99549,39200,9960.0701
100129,40000,9962.9088
100696,40800,9959.1553
101273,41600,9961.423
101877,42400,9967.7832
102461,43200,9963.2553
103064,44000,9967.642
103645,44800,9962.4682
104223,45600,9961.8358
104793,46400,9959.9791
105380,47200,9963.7939
105958,48000,9962.1612
106539,48800,9962.6301
107126,49600,9963.874
107707,50400,9962.7315
108295,51200,9964.6856
108858,52000,9958.1441
109443,52800,9963.0769
110013,53600,9960.0721
110607,54400,9965.4682
111192,55200,9964.3234
111783,56000,9964.6161
112359,56800,9961.601
112942,57600,9962.6893
113537,58400,9965.8723
114109,59200,9960.808
114683,60000,9961.2093
115257,60800,9960.873
115841,61600,9963.3562
116420,62400,9962.2471
117009,63200,9964.8439
117563,64000,9955.9245
118153,64800,9964.7357
118736,65600,9962.8492
119309,66400,9960.466
119883,67200,9960.873
120469,68000,9964.1435
