episode,timestep,reward
1,800,-55.5
5,1600,-73.0
7,2400,219.5
9,3200,30.5
11,4000,20.0
13,4800,29.0
15,5600,40.5
17,6400,36.0
19,7200,30.0
21,8000,39.0
23,8800,26.5
25,9600,14.75
27,10400,29.5
29,11200,31.25
31,12000,23.0
33,12800,24.0
35,13600,30.0
37,14400,28.0
39,15200,24.0
41,16000,26.5
43,16800,37.5
45,17600,32.0
47,18400,34.5
49,19200,31.5
51,20000,29.75
53,20800,32.0
55,21600,28.0
57,22400,24.0
59,23200,33.0
61,24000,34.0
63,24800,30.25
65,25600,32.5
67,26400,25.5
69,27200,33.0
71,28000,23.0
73,28800,34.25
75,29600,27.0
77,30400,35.5
79,31200,27.5
81,32000,26.5
83,32800,25.0
85,33600,28.5
87,34400,30.5
89,35200,29.0
91,36000,27.5
93,36800,31.5
95,37600,29.0
97,38400,28.0
99,39200,25.0
101,40000,32.5
103,40800,31.75
105,41600,35.5
107,42400,29.0
109,43200,33.0
111,44000,22.5
113,44800,29.5
115,45600,28.0
117,46400,27.5
119,47200,40.5
121,48000,42.0
123,48800,29.0
125,49600,29.0
127,50400,30.5
129,51200,31.0
131,52000,31.0
133,52800,31.0
135,53600,22.5
137,54400,27.0
139,55200,35.0
141,56000,19.75
143,56800,26.5
145,57600,31.5
147,58400,38.5
149,59200,29.0
151,60000,34.0
153,60800,24.0
155,61600,31.0
157,62400,27.5
159,63200,25.0
161,64000,36.5
163,64800,34.0
165,65600,34.0
167,66400,31.25
169,67200,23.0
171,68000,30.0
173,68800,21.5
175,69600,31.0
177,70400,24.5
179,71200,41.0
181,72000,29.5
183,72800,28.0
185,73600,29.0
187,74400,34.5
189,75200,21.5
191,76000,22.0
193,76800,24.0
195,77600,36.5
197,78400,24.0
199,79200,26.5
201,80000,24.0
203,80800,26.25
205,81600,17.0
207,82400,26.0
209,83200,33.25
211,84000,14.0
213,84800,30.0
215,85600,19.0
217,86400,36.0
219,87200,39.0
221,88000,27.5
223,88800,31.5
225,89600,34.0
227,90400,28.0
229,91200,34.0
231,92000,32.5
233,92800,28.0
235,93600,41.0
