episode,timestep,reward
1,800,-312.4689025878906
3,1600,-467.8393859863281
5,2400,-461.07391357421875
7,3200,-572.1707763671875
9,4000,-572.131591796875
11,4800,-572.201171875
13,5600,-571.701171875
15,6400,-571.6793823242188
17,7200,-572.1881713867188
19,8000,-571.6619873046875
21,8800,-572.1577758789062
23,9600,-572.201171875
25,10400,-572.2055053710938
27,11200,-572.2141723632812
29,12000,-572.162109375
31,12800,-572.192626953125
33,13600,-572.1707763671875
35,14400,-571.6749877929688
37,15200,-572.1925048828125
39,16000,-572.2141723632812
41,16800,-572.2056274414062
43,17600,-572.2055053710938
45,18400,-572.1968994140625
47,19200,-572.1707763671875
49,20000,-572.2230224609375
51,20800,-572.1881713867188
53,21600,-572.2141723632812
55,22400,-572.2055053710938
57,23200,-572.1707763671875
59,24000,-571.6749877929688
61,24800,-572.15771484375
63,25600,-572.1663818359375
65,26400,-572.1925048828125
67,27200,-572.1837158203125
69,28000,-571.6317138671875
71,28800,-572.1489868164062
73,29600,-572.1751098632812
75,30400,-572.2055053710938
77,31200,-572.1793823242188
79,32000,-572.1881713867188
81,32800,-572.16650390625
83,33600,-572.412109375
85,34400,-572.1837768554688
87,35200,-572.1663818359375
89,36000,-572.222900390625
91,36800,-572.1968994140625
93,37600,-572.1489868164062
95,38400,-571.6881103515625
97,39200,-572.1881713867188
99,40000,-572.1751708984375
101,40800,-572.1793823242188
103,41600,-572.2100219726562
105,42400,-572.1707763671875
107,43200,-572.4293823242188
109,44000,-572.4382934570312
111,44800,-572.1837768554688
113,45600,-571.6663818359375
115,46400,-572.1749877929688
117,47200,-572.390380859375
119,48000,-572.381591796875
121,48800,-572.2141723632812
123,49600,-572.4207763671875
125,50400,-572.1793823242188
127,51200,-572.4381713867188
129,52000,-572.412109375
131,52800,-572.19677734375
133,53600,-571.9207763671875
135,54400,-571.6751708984375
137,55200,-572.1837768554688
139,56000,-572.1751098632812
141,56800,-572.1925048828125
