episode,timestep,reward
1,800,3320000.0
3,1600,3055000.0
5,2400,3485000.0
7,3200,3995000.0
9,4000,4000000.0
11,4800,4000000.0
13,5600,4000000.0
15,6400,4000000.0
17,7200,4000000.0
19,8000,4000000.0
21,8800,4000000.0
23,9600,4000000.0
25,10400,4000000.0
27,11200,4000000.0
29,12000,4000000.0
31,12800,4000000.0
33,13600,4000000.0
35,14400,4000000.0
37,15200,4000000.0
39,16000,4000000.0
41,16800,4000000.0
43,17600,4000000.0
45,18400,4000000.0
47,19200,4000000.0
49,20000,4000000.0
51,20800,4000000.0
53,21600,4000000.0
55,22400,4000000.0
57,23200,4000000.0
59,24000,4000000.0
61,24800,4000000.0
63,25600,4000000.0
65,26400,4000000.0
67,27200,4000000.0
69,28000,4000000.0
71,28800,4000000.0
73,29600,4000000.0
75,30400,4000000.0
77,31200,4000000.0
79,32000,4000000.0
81,32800,4000000.0
83,33600,4000000.0
85,34400,4000000.0
