episode,timestep,reward
6,800,6569.0
12,1600,-158.8333
14,2400,19800.0
16,3200,-399.25
18,4000,-400.0
20,4800,-400.0
22,5600,-399.25
24,6400,-400.0
26,7200,-400.0
28,8000,-399.25
30,8800,-400.0
32,9600,-400.0
34,10400,-400.0
36,11200,-400.0
38,12000,-400.0
40,12800,-400.0
42,13600,-399.25
44,14400,-400.0
46,15200,-400.0
48,16000,-399.25
50,16800,-400.0
52,17600,-400.0
54,18400,-399.25
56,19200,-400.0
58,20000,-400.0
60,20800,-400.0
62,21600,-400.0
64,22400,-400.0
66,23200,-400.0
68,24000,-400.0
70,24800,-400.0
72,25600,-400.0
74,26400,-400.0
76,27200,-400.0
78,28000,-400.0
80,28800,-400.0
82,29600,-400.0
84,30400,-399.25
86,31200,-399.25
88,32000,-400.0
90,32800,-400.0
92,33600,-400.0
94,34400,-400.0
96,35200,-399.25
98,36000,-400.0
100,36800,-400.0
102,37600,-400.0
104,38400,-400.0
106,39200,-400.0
108,40000,-400.0
110,40800,-400.0
112,41600,-400.0
114,42400,-399.25
116,43200,-400.0
118,44000,-400.0
120,44800,-400.0
122,45600,-400.0
124,46400,-400.0
126,47200,-400.0
128,48000,-399.25
130,48800,-400.0
132,49600,-400.0
134,50400,-400.0
136,51200,-400.0
138,52000,-400.0
140,52800,-399.25
142,53600,-400.0
144,54400,-400.0
146,55200,-400.0
148,56000,-399.25
150,56800,-400.0
152,57600,-400.0
154,58400,-399.25
156,59200,-400.0
158,60000,-400.0
160,60800,-400.0
162,61600,-400.0
164,62400,-400.0
166,63200,-399.25
168,64000,-399.25
170,64800,-399.25
172,65600,-400.0
174,66400,-400.0
176,67200,-400.0
178,68000,-399.25
180,68800,-400.0
182,69600,-400.0
184,70400,-400.0
186,71200,-399.25
188,72000,-400.0
190,72800,-400.0
192,73600,-400.0
194,74400,-400.0
196,75200,-400.0
198,76000,-400.0
200,76800,-400.0
202,77600,-400.0
204,78400,-400.0
206,79200,-400.0
208,80000,-400.0
210,80800,-400.0
212,81600,-400.0
214,82400,-400.0
216,83200,-400.0
218,84000,-400.0
220,84800,-400.0
222,85600,-400.0
224,86400,-400.0
226,87200,-399.25
228,88000,-400.0
230,88800,-400.0
232,89600,-400.0
234,90400,-400.0
236,91200,-400.0
238,92000,-400.0
240,92800,-400.0
242,93600,-400.0
244,94400,-399.25
246,95200,-400.0
248,96000,-400.0
250,96800,-400.0
252,97600,-400.0
254,98400,-400.0
256,99200,-400.0
258,100000,-400.0
