episode,timestep,reward
38,800,8043.1606
75,1600,8089.1892
77,2400,-20000.0
79,3200,-20000.0
81,4000,-20000.0
83,4800,-20000.0
594,5600,9939.8748
1175,6400,9967.4806
1778,7200,9967.33
2373,8000,9965.7143
2957,8800,9963.0137
3550,9600,9965.2614
4134,10400,9963.0137
4752,11200,9970.712
5342,12000,9964.4068
5918,12800,9960.9375
6511,13600,9965.0927
7118,14400,9968.2043
7714,15200,9965.7718
8333,16000,9970.8353
8942,16800,9968.6371
9536,17600,9965.3199
10128,18400,9964.8649
10717,19200,9964.1766
11315,20000,9966.2207
11910,20800,9965.5462
12485,21600,9960.8696
13085,22400,9966.8333
13675,23200,9964.2373
14274,24000,9966.4441
14877,24800,9967.4959
15488,25600,9968.9034
16082,26400,9965.3199
16672,27200,9964.4068
17254,28000,9962.543
17840,28800,9963.6519
18418,29600,9961.4187
19018,30400,9966.6667
19612,31200,9965.4882
20190,32000,9961.4187
20784,32800,9965.4882
21382,33600,9966.0535
21953,34400,9960.4186
22563,35200,9968.8525
23148,36000,9963.2479
23741,36800,9965.0928
24326,37600,9963.4188
24912,38400,9963.3106
25488,39200,9961.1111
26066,40000,9961.5917
26653,40800,9963.8842
27246,41600,9964.9241
27835,42400,9964.3463
28404,43200,9959.4851
28997,44000,9964.9241
29591,44800,9965.6566
30181,45600,9964.5763
30750,46400,9959.2267
31319,47200,9959.4025
31907,48000,9964.1156
32502,48800,9965.3782
33087,49600,9963.4188
