episode,timestep,reward
0,400,0.0
1,800,2800.0
2,1200,2800.0
3,1600,2800.0
4,2000,2800.0
5,2400,-0.0
6,2800,7.0
7,3200,7.0
8,3600,-0.0
9,4000,-0.0
10,4400,7.0
11,4800,14.0
12,5200,-0.0
13,5600,14.0
14,6000,14.0
15,6400,-0.0
16,6800,28.0
17,7200,7.0
18,7600,35.0
19,8000,-0.0
20,8400,28.0
21,8800,14.0
22,9200,14.0
23,9600,-0.0
24,10000,21.0
25,10400,7.0
26,10800,-0.0
27,11200,28.0
28,11600,21.0
29,12000,21.0
30,12400,-0.0
31,12800,7.0
32,13200,14.0
33,13600,7.0
34,14000,-0.0
35,14400,7.0
36,14800,-0.0
37,15200,7.0
38,15600,21.0
39,16000,14.0
40,16400,28.0
41,16800,21.0
42,17200,-0.0
43,17600,42.0
44,18000,7.0
45,18400,-0.0
46,18800,-0.0
47,19200,14.0
48,19600,7.0
49,20000,-0.0
50,20400,14.0
51,400,7.0
52,800,2793.0
53,1200,2793.0
54,1600,2800.0
55,2000,2793.0
56,2400,2772.0
57,2800,2772.0
58,3200,2800.0
59,3600,2800.0
60,4000,2786.0
61,4400,2793.0
62,4800,2786.0
63,5200,2800.0
64,5600,2800.0
65,6000,2786.0
66,6400,2779.0
67,6800,2793.0
68,7200,2786.0
69,7600,2772.0
70,8000,2786.0
71,8400,2786.0
72,8800,2800.0
73,9200,2800.0
74,9600,2793.0
75,10000,2800.0
76,10400,2800.0
77,10800,2772.0
78,11200,2786.0
79,11600,2793.0
80,12000,2800.0
81,12400,2793.0
82,12800,2786.0
83,13200,2800.0
84,13600,2793.0
85,14000,2793.0
86,14400,2793.0
87,14800,2800.0
88,15200,2793.0
89,15600,2793.0
90,16000,2800.0
91,16400,2793.0
92,16800,2793.0
93,17200,2786.0
94,17600,2786.0
95,18000,2793.0
96,18400,2800.0
97,18800,2786.0
98,19200,2800.0
99,19600,2786.0
100,20000,2800.0
101,20400,2800.0
102,400,2793.0
103,800,28.0
104,1200,7.0
105,1600,14.0
106,2000,7.0
107,2400,7.0
108,2800,21.0
109,3200,14.0
110,3600,-0.0
111,4000,7.0
112,4400,7.0
113,4800,14.0
114,5200,14.0
115,5600,7.0
116,6000,7.0
117,6400,7.0
118,6800,7.0
119,7200,-0.0
120,7600,7.0
121,8000,35.0
122,8400,7.0
123,8800,-0.0
124,9200,21.0
125,9600,-0.0
126,10000,14.0
127,10400,14.0
128,10800,14.0
129,11200,14.0
130,11600,14.0
131,12000,14.0
132,12400,7.0
133,12800,21.0
134,13200,14.0
135,13600,-0.0
136,14000,7.0
137,14400,7.0
138,14800,-0.0
139,15200,-0.0
140,15600,-0.0
141,16000,14.0
142,16400,-0.0
143,16800,-0.0
144,17200,7.0
145,17600,14.0
146,18000,-0.0
147,18400,-0.0
148,18800,14.0
149,19200,7.0
150,19600,28.0
151,20000,7.0
152,20400,7.0
153,400,7.0
154,800,2772.0
155,1200,2800.0
156,1600,2786.0
157,2000,2800.0
158,2400,2793.0
159,2800,2793.0
160,3200,2793.0
161,3600,2800.0
162,4000,2779.0
163,4400,2786.0
