episode,timestep,reward
1,800,-20000.0
3,1600,-20000.0
531,2400,9899.7966
1012,3200,9942.6896
1514,4000,9948.1323
2012,4800,9948.7591
2504,5600,9946.2559
2992,6400,9946.4861
3496,7200,9951.0048
3996,8000,9947.7585
4479,8800,9943.0223
4978,9600,9946.9822
5486,10400,9950.0439
5981,11200,9948.0705
6481,12000,9948.5961
6999,12800,9952.4849
7497,13600,9946.0178
8005,14400,9950.8089
8521,15200,9951.5351
9009,16000,9945.9342
9511,16800,9949.9961
9997,17600,9944.6188
10510,18400,9952.9801
10998,19200,9943.9103
11485,20000,9946.5195
11972,20800,9943.8937
12472,21600,9947.7011
12977,22400,9949.5491
13451,23200,9940.6025
13957,24000,9948.692
14472,24800,9952.1716
14961,25600,9943.7821
