episode,timestep,reward
1,800,-20374.90234375
3,1600,-20374.783203125
5,2400,-19774.251953125
7,3200,-20275.48828125
9,4000,-20176.931640625
11,4800,-20378.916015625
13,5600,-20379.021484375
15,6400,-20379.0859375
17,7200,-20379.09765625
19,8000,-20379.111328125
21,8800,-20379.0546875
23,9600,-20379.078125
25,10400,-20379.08984375
27,11200,-20379.10546875
29,12000,-20379.1015625
31,12800,-20379.08203125
33,13600,-20379.0546875
35,14400,-20379.087890625
37,15200,-20379.05078125
39,16000,-20379.09375
41,16800,-20379.0859375
43,17600,-20379.080078125
45,18400,-20379.0859375
47,19200,-20379.07421875
49,20000,-20379.05078125
51,20800,-20379.07421875
53,21600,-20379.078125
55,22400,-20379.0390625
57,23200,-20379.0703125
59,24000,-20379.072265625
61,24800,-20379.05078125
63,25600,-20379.08203125
65,26400,-20379.078125
67,27200,-20379.03125
69,28000,-20379.0546875
71,28800,-20379.0859375
73,29600,-20379.0859375
