episode,timestep,reward
1,800,581.1646118164062
3,1600,583.4342041015625
5,2400,578.2457885742188
7,3200,580.6242065429688
9,4000,582.1605834960938
11,4800,581.9174194335938
13,5600,581.5477905273438
15,6400,580.4010009765625
17,7200,580.7255859375
19,8000,580.8634033203125
21,8800,581.8720092773438
23,9600,581.2305908203125
25,10400,580.172607421875
28,11200,387.4862060546875
30,12000,578.576904296875
33,12800,388.9617919921875
35,13600,580.8983764648438
37,14400,580.2987060546875
39,15200,581.1821899414062
41,16000,580.05078125
44,16800,388.2240905761719
46,17600,580.0289916992188
48,18400,581.2507934570312
50,19200,577.8248901367188
52,20000,580.5844116210938
54,20800,579.8532104492188
56,21600,580.7011108398438
