episode,timestep,reward
2,800,-201.0
4,1600,-400.0
7,2400,-373.3333
11,3200,-375.5
16,4000,-247.2
24,4800,-208.0
27,5600,-280.0
36,6400,-193.5556
42,7200,-272.3333
51,8000,-166.0
55,8800,-463.0
59,9600,-361.5
64,10400,-323.2
67,11200,-210.6667
74,12000,-200.5714
78,12800,-305.0
81,13600,-286.6667
88,14400,-307.1429
95,15200,-239.7143
99,16000,-246.5
106,16800,-239.7143
109,17600,-374.0
112,18400,-469.3333
116,19200,-348.5
123,20000,-246.2857
130,20800,-244.5714
137,21600,-202.8571
143,22400,-276.3333
146,23200,-366.0
152,24000,-202.0833
156,24800,-291.5
163,25600,-246.5714
167,26400,-310.0
170,27200,-323.3333
177,28000,-221.0
