episode,timestep,reward
1,800,-325.0
4,1600,96.6667
6,2400,99.5
9,3200,102.3333
11,4000,149.75
13,4800,142.25
16,5600,100.1667
19,6400,102.1667
21,7200,132.5
25,8000,73.0
28,8800,100.1667
31,9600,94.3333
34,10400,93.3333
36,11200,145.25
38,12000,152.0
41,12800,96.6667
45,13600,75.625
47,14400,138.5
49,15200,149.75
51,16000,154.25
54,16800,96.8333
56,17600,149.75
58,18400,137.0
60,19200,149.0
63,20000,110.6667
66,20800,92.8333
69,21600,107.1667
74,22400,48.6
77,23200,92.8333
80,24000,101.8333
82,24800,138.5
84,25600,134.0
86,26400,152.75
88,27200,148.25
91,28000,99.8333
93,28800,132.5
95,29600,143.75
97,30400,143.75
100,31200,98.3333
102,32000,146.75
104,32800,137.75
107,33600,97.0
110,34400,105.3333
113,35200,89.3333
116,36000,100.8333
119,36800,93.1667
122,37600,95.8333
125,38400,93.8333
127,39200,148.25
129,40000,143.75
132,40800,92.3333
134,41600,141.5
138,42400,70.25
142,43200,78.75
144,44000,129.5
