episode,timestep,reward
1,800,-371.5
3,1600,-339.25
5,2400,-42.25
7,3200,-285.25
9,4000,-46.0
11,4800,56.0
13,5600,140.75
15,6400,93.5
17,7200,170.0
19,8000,68.75
21,8800,167.75
23,9600,189.5
25,10400,197.75
27,11200,197.0
29,12000,131.0
31,12800,194.75
33,13600,197.0
35,14400,198.5
37,15200,143.0
39,16000,195.5
41,16800,175.25
43,17600,199.25
45,18400,200.0
47,19200,200.0
49,20000,200.0
51,20800,197.75
53,21600,198.5
55,22400,200.0
57,23200,199.25
59,24000,196.25
61,24800,200.0
63,25600,183.5
65,26400,183.5
67,27200,200.0
69,28000,199.25
71,28800,200.0
73,29600,200.0
75,30400,195.5
77,31200,194.75
79,32000,195.5
81,32800,196.25
83,33600,200.0
85,34400,199.25
87,35200,199.25
89,36000,195.5
91,36800,196.25
93,37600,198.5
95,38400,190.25
97,39200,198.5
99,40000,199.25
101,40800,200.0
103,41600,196.25
105,42400,199.25
107,43200,200.0
109,44000,197.75
111,44800,200.0
113,45600,200.0
115,46400,198.5
117,47200,194.75
119,48000,196.25
121,48800,200.0
123,49600,200.0
125,50400,200.0
127,51200,192.5
129,52000,200.0
131,52800,199.25
133,53600,197.0
135,54400,200.0
137,55200,193.25
139,56000,199.25
141,56800,200.0
143,57600,200.0
145,58400,199.25
147,59200,199.25
149,60000,198.5
151,60800,200.0
153,61600,199.25
155,62400,197.75
157,63200,199.25
159,64000,197.75
161,64800,197.75
163,65600,195.5
165,66400,193.25
167,67200,196.25
169,68000,200.0
171,68800,199.25
173,69600,190.25
175,70400,198.5
177,71200,188.75
179,72000,169.25
181,72800,199.25
183,73600,199.25
185,74400,200.0
187,75200,194.75
189,76000,199.25
191,76800,193.25
193,77600,190.25
195,78400,200.0
197,79200,200.0
199,80000,192.5
201,80800,195.5
203,81600,200.0
205,82400,199.25
207,83200,200.0
209,84000,197.75
211,84800,199.25
213,85600,200.0
215,86400,197.75
217,87200,198.5
219,88000,200.0
221,88800,198.5
223,89600,197.0
225,90400,196.25
227,91200,198.5
229,92000,200.0
231,92800,200.0
233,93600,200.0
235,94400,200.0
237,95200,197.75
