episode,timestep,reward
759,800,-0.008899999782443047
1512,1600,-0.008899999782443047
1908,2400,-0.024900000542402267
2687,3200,-0.004699999932199717
3447,4000,-0.0031999999191612005
4208,4800,-0.008799999952316284
4997,5600,-0.002300000051036477
5774,6400,-0.004900000058114529
6561,7200,-0.003000000026077032
7350,8000,-0.002300000051036477
8140,8800,-0.002099999925121665
8927,9600,-0.00279999990016222
9719,10400,-0.0017000000225380063
10508,11200,-0.002400000113993883
11299,12000,-0.0019000000320374966
12094,12800,-0.0010999999940395355
12886,13600,-0.0017000000225380063
13684,14400,-0.0005000000237487257
14483,15200,-0.00019999999494757503
14976,16000,-0.0010999999940395355
15677,16800,-0.013100000098347664
16471,17600,-0.0010999999940395355
17269,18400,-0.0005000000237487257
18065,19200,-0.0007999999797903001
18863,20000,-0.00039999998989515007
