episode,timestep,reward
1,800,-513.0081787109375
3,1600,-552.1171875
5,2400,-233.47799682617188
7,3200,-0.9912999868392944
9,4000,-5.456500053405762
11,4800,-4.008699893951416
13,5600,-3.982599973678589
15,6400,-9.969599723815918
17,7200,-8.495699882507324
19,8000,-14.447799682617188
21,8800,-14.482600212097168
23,9600,-3.9651999473571777
25,10400,-15.947799682617188
27,11200,-0.9782999753952026
29,12000,-8.46090030670166
31,12800,-6.986999988555908
33,13600,-23.417400360107422
35,14400,-1.013100028038025
37,15200,-5.482600212097168
39,16000,-14.46090030670166
41,16800,-0.9477999806404114
43,17600,-21.930400848388672
45,18400,-11.469599723815918
47,19200,-4.008699893951416
