episode,timestep,reward
1,800,14.486900329589844
3,1600,-88.82579803466797
5,2400,-244.73440551757812
7,3200,-503.52099609375
9,4000,-503.52099609375
11,4800,-503.52099609375
13,5600,-503.52099609375
15,6400,-503.52099609375
17,7200,-503.52099609375
19,8000,-503.52099609375
21,8800,-503.52099609375
23,9600,-503.52099609375
25,10400,-503.52099609375
27,11200,-503.52099609375
29,12000,-503.52099609375
31,12800,-503.52099609375
33,13600,-503.52099609375
35,14400,-503.52099609375
37,15200,-503.52099609375
39,16000,-503.52099609375
41,16800,-503.52099609375
