episode,timestep,reward
14,800,-1.1429
30,1600,1.875
32,2400,-79.0
34,3200,-109.0
36,4000,20.25
38,4800,24.25
40,5600,26.5
42,6400,27.0
44,7200,33.5
46,8000,15.25
48,8800,29.0
50,9600,24.0
52,10400,29.5
54,11200,30.5
56,12000,31.0
58,12800,31.5
60,13600,22.0
62,14400,29.5
64,15200,26.5
66,16000,27.5
68,16800,30.0
70,17600,23.0
72,18400,33.5
74,19200,33.75
76,20000,26.5
78,20800,30.0
80,21600,30.5
82,22400,32.5
84,23200,21.5
86,24000,27.5
88,24800,20.75
90,25600,20.5
92,26400,27.0
94,27200,19.5
96,28000,26.5
98,28800,31.5
100,29600,19.0
102,30400,34.5
104,31200,27.0
106,32000,23.5
108,32800,24.0
110,33600,31.0
112,34400,20.5
114,35200,25.0
116,36000,29.5
118,36800,28.0
120,37600,18.0
122,38400,26.0
124,39200,29.75
126,40000,22.5
128,40800,40.0
130,41600,16.5
132,42400,40.0
134,43200,38.5
136,44000,26.0
138,44800,32.25
140,45600,22.0
142,46400,32.5
144,47200,24.5
146,48000,29.5
148,48800,16.0
150,49600,33.0
152,50400,33.25
154,51200,23.5
156,52000,29.25
158,52800,34.5
160,53600,28.5
162,54400,28.5
164,55200,24.0
166,56000,31.0
168,56800,30.0
170,57600,23.0
172,58400,29.5
174,59200,28.5
176,60000,34.0
178,60800,32.5
180,61600,24.5
182,62400,26.0
184,63200,38.0
186,64000,25.0
188,64800,23.0
190,65600,29.0
192,66400,33.0
194,67200,27.0
196,68000,26.0
198,68800,13.0
200,69600,24.0
202,70400,33.0
204,71200,36.5
206,72000,31.0
208,72800,24.5
210,73600,25.0
212,74400,28.75
214,75200,23.0
216,76000,32.5
218,76800,30.5
220,77600,26.5
222,78400,31.0
224,79200,44.0
226,80000,21.0
228,80800,32.5
230,81600,23.5
232,82400,26.25
234,83200,34.0
236,84000,21.5
238,84800,23.5
240,85600,36.5
242,86400,25.0
244,87200,32.0
246,88000,17.0
248,88800,28.0
250,89600,33.5
252,90400,31.75
254,91200,24.0
256,92000,35.5
258,92800,44.0
260,93600,31.5
262,94400,30.5
264,95200,27.0
266,96000,27.5
268,96800,29.0
270,97600,22.5
272,98400,33.0
274,99200,26.0
276,100000,24.0
278,100800,31.5
280,101600,20.5
282,102400,17.0
284,103200,31.5
286,104000,34.5
288,104800,31.5
290,105600,31.5
292,106400,34.0
294,107200,14.5
296,108000,26.0
298,108800,26.5
300,109600,31.0
302,110400,25.75
304,111200,28.5
306,112000,31.0
308,112800,21.0
310,113600,34.0
312,114400,24.5
314,115200,27.0
316,116000,18.75
318,116800,29.0
320,117600,32.5
322,118400,28.5
324,119200,27.0
326,120000,32.25
328,120800,31.5
330,121600,37.0
332,122400,27.25
334,123200,29.0
336,124000,36.0
338,124800,28.0
340,125600,29.0
342,126400,31.5
344,127200,24.5
346,128000,33.5
348,128800,39.0
350,129600,29.0
352,130400,31.0
354,131200,33.0
356,132000,26.0
358,132800,28.0
360,133600,29.25
362,134400,42.0
364,135200,31.0
366,136000,17.0
368,136800,36.5
370,137600,26.5
372,138400,29.0
