episode,timestep,reward
1,800,-19576.4528
3,1600,-20000.0
5,2400,-19999.2107
7,3200,-20000.0
9,4000,-20000.0
11,4800,-20000.0
13,5600,-20000.0
15,6400,-20000.0
17,7200,-20000.0
19,8000,-20000.0
21,8800,-20000.0
23,9600,-20000.0
25,10400,-20000.0
27,11200,-20000.0
29,12000,-20000.0
31,12800,-20000.0
33,13600,-20000.0
35,14400,-20000.0
37,15200,-20000.0
39,16000,-20000.0
41,16800,-20000.0
43,17600,-20000.0
45,18400,-20000.0
47,19200,-20000.0
49,20000,-20000.0
52,800,-20000.0
54,1600,-20000.0
56,2400,-20000.0
58,3200,-20000.0
60,4000,-20000.0
62,4800,-20000.0
64,5600,-20000.0
66,6400,-20000.0
68,7200,-20000.0
70,8000,-20000.0
72,8800,-20000.0
74,9600,-20000.0
76,10400,-20000.0
78,11200,-20000.0
80,12000,-20000.0
82,12800,-20000.0
84,13600,-20000.0
86,14400,-20000.0
88,15200,-20000.0
90,16000,-20000.0
92,16800,-20000.0
94,17600,-20000.0
96,18400,-20000.0
98,19200,-20000.0
100,20000,-20000.0
103,800,-20000.0
105,1600,-20000.0
107,2400,-20000.0
109,3200,-20000.0
111,4000,-20000.0
113,4800,-20000.0
115,5600,-20000.0
117,6400,-20000.0
119,7200,-20000.0
