episode,timestep,reward
1,800,-20000.0
4,1600,-10152.9695
6,2400,-19964.7272
8,3200,-20000.0
10,4000,-20000.0
12,4800,-20000.0
14,5600,-20000.0
16,6400,-20000.0
18,7200,-20000.0
20,8000,-20000.0
22,8800,-20000.0
24,9600,-20000.0
26,10400,-20000.0
28,11200,-20000.0
30,12000,-20000.0
32,12800,-20000.0
34,13600,-20000.0
36,14400,-20000.0
38,15200,-20000.0
40,16000,-20000.0
42,16800,-20000.0
44,17600,-20000.0
46,18400,-20000.0
48,19200,-20000.0
50,20000,-20000.0
52,20800,-20000.0
54,21600,-20000.0
56,22400,-20000.0
58,23200,-20000.0
60,24000,-20000.0
62,24800,-20000.0
64,25600,-20000.0
66,26400,-20000.0
68,27200,-20000.0
70,28000,-20000.0
72,28800,-20000.0
74,29600,-20000.0
76,30400,-20000.0
78,31200,-20000.0
80,32000,-20000.0
82,32800,-20000.0
84,33600,-20000.0
86,34400,-20000.0
88,35200,-20000.0
90,36000,-20000.0
92,36800,-20000.0
94,37600,-20000.0
96,38400,-20000.0
98,39200,-20000.0
100,40000,-20000.0
102,40800,-20000.0
